"MIM-HourPerBrowsing","MIM-NumEditEvent","MIM-NumRareBrws","MIM-TimeSpent","MIM-HourPerEditing","MIM-NumEditingDevelopers","MIM-NumRareEdit","MIM-TimeSpentAfterEdit","MIM-MaxTimeIntervalBrwsBrws","MIM-NumInterruptions","MIM-NumRepeatedEdit","MIM-TimeSpentBeforeEdit","MIM-MaxTimeIntervalBrwsEdit","MIM-NumParallelBrws","MIM-NumSelectionEvent","MIM-MaxTimeIntervalEditEdit","MIM-NumParallelEdit","MIM-TimeSinceLastTask","MIM-NumMultiTasks","MIM-RatioCodeUnderstandingEffort","MIM-NumRepeatedBrws","MIM-AvgTimeIntervalEditEdit","MIM-AvgTimeIntervalBrwsEdit","MIM-AvgTimeIntervalBrwsBrws","CM-AvgCyclomatic","CM-MaxCyclomaticStrict","CM-CountLine","CM-CountLineBlank","CM-RatioCommentToCode","CM-MaxCyclomaticModified","CM-AvgCyclomaticModified","CM-AvgEssential","CM-CountDeclFunction","CM-CountStmtExe","CM-CountStmt","CM-CountLineCodeDecl","CM-CountSemicolon","CM-CountLineCode","CM-AvgCyclomaticStrict","CM-CountLineCodeExe","CM-MaxCyclomatic","CM-CountLineComment","CM-CountDeclClass","CM-CountStmtDecl","CM-SumCyclomaticStrict","CM-SumCyclomatic","CM-SumCyclomaticModified","CM-SumEssential","CM-AvgLine","CM-AvgLineBlank","CM-AvgLineCode","CM-AvgLineComment","CM-PercentLackOfCohesion","CM-CountClassBase","CM-CountClassCoupled","CM-CountClassDerived","CM-CountDeclClassVariable","CM-CountDeclInstanceMethod","CM-CountDeclInstanceVariable","CM-CountDeclMethod","CM-CountDeclMethodAll","CM-CountDeclMethodDefault","CM-CountDeclMethodPrivate","CM-CountDeclMethodProtected","CM-CountDeclMethodPublic","CM-MaxInheritanceTree","HM-#ofBugFixing","HM-#OfRevision","HM-SumOfAddedLines","HM-SumOfRemovedLines","HM-MaxOfAddedLines","HM-MaxOfRemovedLines","HM-AvgOfAddedLines","HM-AvgOfRemovedLines","HM-NumOfRefactorings","HM-MaxCodeChurn","HM-SumOfCodeChurn","HM-AvgOfCodeChurn","HM-NumOfAuthors","HM-Age","HM-WeightedAge","Buggy"
28.821882,97,0.006329,340.090761,30.598791,8,0.006329,34.107849,831.597222,11.35443,7.35443,40.364017,1431.312222,22.278481,294,1431.312222,11.379747,6523.358611,8.14557,0.748697,14.101266,145.188503,81.668365,55.212404,1,5,513,105,0.21,3,1,1,71,114,235,140,146,350,1,121,3,73,1,121,91,89,89,73,0.044944,0,0.044944,0,1.078652,3,6,4,1,71,27,71,89,2,2,0,67,3,99,43,209,301,83,106,4,7,1,71,-92,-2.139535,3,4,51.693779,0
28.459457,207,0.043478,372.069971,4.285104,4,0,104.128819,2810.553889,11.322981,6.099379,80.158845,2810.563056,18.857143,160,2810.565833,9.018634,811.101111,8.099379,0.79234,10.745342,732.841892,416.400144,327.445168,2,6,68,10,0.35,5,2,1,4,11,32,20,22,43,2,14,5,15,2,21,9,8,8,6,1,0,1,0,0,2,2,0,0,2,0,2,2,0,0,0,2,1,50,18,181,231,51,132,10,12,0,24,-50,-2.777778,2,104,46.436462,1
395.150632,503,0,600.970585,384.589949,1,0,473.460556,5084.036667,11.315789,3.631579,0.134872,5084.204444,17.947368,565,5084.204722,6.789474,5885.3525,3.421053,0.736879,8.684211,247.238067,155.983594,137.132662,2,21,1309,96,0.62,21,2,1,66,387,612,224,426,793,3,423,21,488,2,225,207,192,189,104,0.875,0,0.875,0,0,2,2,0,0,1,0,1,8,0,0,0,1,1,38,130,199,108,65,42,1,0,0,23,91,0.7,3,46,75.728645,1
0.008681,3,0,16.967153,0.014167,1,0,0.292569,0.01,16.75,2.75,0.227083,1971.430457,46.25,7,2195.293948,7,10180.63667,3.25,0.797792,9.75,72.030794,29.140611,0.003958,1,1,40,2,4.43,1,1,1,4,0,6,6,5,7,1,0,1,31,1,6,4,4,4,4,0.25,0,0.25,0,0,0,1,2,0,4,0,4,4,0,0,0,4,0,1,8,3,3,2,2,0,0,0,0,0,0,1,387,166,0
42.999096,488,0.032051,201.214293,17.916694,3,0.012821,471.409173,3744.919722,7.788462,5.346154,37.222398,3745.413889,11.852564,389,3745.433056,8.230769,423.471944,9.230769,0.725763,8.692308,506.406958,289.375405,235.538127,2,7,431,63,0.15,7,2,1,27,132,248,117,183,324,2,149,7,47,5,116,64,59,59,27,9,0,9,0,0,2,1,0,0,1,0,1,1,0,0,0,1,1,145,64,618,498,121,178,9,7,1,91,120,1.875,4,75,49.953075,1
199.923493,180,0,179.214769,165.026771,3,0,55.959821,7327.761389,7.5,6.083333,29.291071,7330.792222,15.583333,177,7334.994444,9.833333,621.239167,6.75,0.840331,10.791667,401.840891,247.282963,292.243502,2,6,163,20,0.12,6,2,1,11,54,94,40,67,129,2,63,6,16,4,40,27,25,25,14,3,0,3,0,0,2,3,0,0,1,0,1,1,0,0,0,1,1,64,27,198,131,47,30,7,4,0,23,67,2.481481,5,75,25.363636,0
113.508592,1953,0.025281,277.893241,64.241914,9,0,213.353654,1675.341389,7.831461,5.480337,51.752526,1683.479722,14.044944,1198,1719.271111,8.160112,66.835556,8.418539,0.748029,9.80618,136.85533,94.916249,82.113609,2,13,1172,151,0.25,12,2,1,63,329,605,287,431,838,2,386,12,207,16,276,182,164,164,74,3,0,3,0,0,2,2,0,0,1,0,1,1,0,0,0,1,1,434,209,3372,2511,340,335,16,12,5,226,861,4.119617,4,53,46.309906,0
12.519906,93,0,246.448798,2.262867,2,0,339.628982,4586.498889,9.310345,6.62931,62.553562,2607.395556,15.172414,155,3613.083889,10.267241,351.365,10.387931,0.830005,10.775862,241.935591,156.252928,232.105514,1,7,263,32,0.1,4,1,1,15,78,164,87,135,213,2,100,4,22,8,86,30,27,27,20,3,0,3,0,0,2,3,0,0,1,0,1,1,0,0,0,1,1,108,63,572,754,207,303,9,11,2,96,-182,-2.888889,2,75,56.222027,0
126.946465,10,0,693.563081,0.043056,1,0,123.452465,3223.745,7.272727,3.727273,0.221667,0.006667,20.454545,22,0.007222,5.545455,942.716667,3.272727,0.769348,10.181818,0.002593,0.001898,296.781894,2,18,1494,194,0.17,15,2,1,104,509,866,352,596,1126,3,575,15,192,11,357,318,275,268,174,0.375,0,0.375,0,0,2,3,0,0,1,0,1,8,0,0,0,1,1,112,338,839,1303,126,281,2,3,0,28,-464,-1.372781,5,89,107.013107,1
0.252037,61,0,140.513846,0.215639,1,0,3.782904,0.239444,18.076923,8.769231,274.064343,0.255,26.461538,61,0.255833,15.384615,1337.8675,4.846154,0.750607,17.769231,0.051972,0.028148,0.040926,2,6,137,26,0.34,6,2,1,7,34,58,25,37,83,3,37,6,28,2,24,21,19,19,12,2.333333,0,2,0,14.666667,2,1,0,0,3,3,3,3,0,0,0,3,1,25,11,96,128,67,119,8,11,0,8,-32,-2.909091,2,104,71.104164,0
3.904444,57,0.393939,469.383914,1.310593,4,0.30303,42.362557,7002.985556,19,7.878788,127.12001,11306.18111,21.212121,114,11306.18722,13.333333,740.643333,6.787879,0.750987,16.393939,990.054685,873.617173,645.769143,2,9,194,31,0.17,7,2,1,12,49,99,48,65,139,2,59,7,24,3,50,34,29,29,12,27,3,23,1,0,2,3,0,0,1,0,1,1,0,0,0,1,1,93,40,282,291,60,75,7,7,0,34,-9,-0.225,3,104,83.205673,1
25.346344,574,0.125,291.539996,16.997392,9,0.06117,226.208724,2470.091389,7.880319,5.585106,115.938979,2470.085,11.518617,622,2350.348611,8.300532,67.35,8.603723,0.755122,10.085106,145.508632,91.579788,81.93981,3,13,475,42,0.25,12,3,2,21,139,253,122,177,354,4,161,12,87,1,114,85,74,74,46,0.714286,0,0.666667,0,4.52381,1,31,0,1,0,0,21,21,0,4,0,17,1,400,165,2180,2063,424,391,13,12,4,128,117,0.709091,4,11,82.238533,1
0.453241,7,0,28.779236,0.021574,2,0,0.257222,8322.646944,7.875,3.375,58.901026,8322.645278,7.4375,17,8322.646944,4.75,3522.708333,1.75,0.953268,5.9375,2774.228056,1664.794833,2774.658056,3,5,63,6,0.24,4,3,1,2,10,38,28,31,46,3,12,4,11,1,28,7,6,6,2,0.9375,0,0.875,0,0,1,23,0,0,2,0,2,16,0,1,0,1,2,3,5,32,24,12,10,6,4,0,5,8,1.6,2,80,46.84375,0
296.636403,118,0,497.541087,66.824662,4,0,38.657315,3006.832778,15.9,8.057143,353.999409,3983.9525,17.828571,267,4441.061111,12.342857,1195.82,5.614286,0.771822,14.557143,271.886247,182.368697,137.965891,5,5,273,101,0.86,5,3,3,2,15,112,106,104,138,5,20,5,118,5,97,18,18,15,14,0,0,0,0,0,0,2,0,89,0,0,0,0,0,0,0,0,0,202,95,575,417,100,100,6,4,2,37,158,1.663158,4,21,98.857391,0
7.227959,25,0,317.058056,9.913935,3,0,296.216146,7079.937222,16.772727,8.113636,83.200472,11616.42611,21.431818,58,11616.45806,13.613636,2250.183056,7.568182,0.828272,16.386364,1087.811157,652.688431,522.363996,1,3,126,24,0.19,3,1,1,8,33,69,41,57,86,1,33,3,16,2,36,11,11,11,10,3,0,3,0,0,2,1,0,0,1,0,1,1,0,0,0,1,1,96,40,155,154,45,52,3,3,0,9,1,0.025,4,116,91.761292,1
14.659722,4,0,400.996212,11.069722,2,0,12.654333,4752.423056,10.545455,5.363636,0.114028,4752.423333,150.363636,25,4752.433611,7.636364,1840.598889,2.545455,0.787798,11.909091,2376.216806,1584.144537,1584.144537,1,2,113,6,9.7,2,1,1,5,0,9,9,8,10,1,0,2,97,1,9,10,10,10,10,0.166667,0,0.166667,0,0,1,6,18,0,5,0,5,12,0,0,0,5,4,4,17,75,69,75,69,4,4,0,6,6,0.352941,1,306,184,0
4.308765,3,0,404.496042,0.000556,1,0,198.643982,8416.421944,16.53125,5.9375,0.245309,0.569444,62.40625,38,2195.293948,9.28125,1833.319167,2.6875,0.785472,12.3125,72.030794,0.284722,1759.760123,1,4,309,29,2.19,4,1,1,19,30,63,36,42,88,1,31,4,193,2,33,50,50,50,38,0.625,0,0.625,0,0,2,4,0,0,1,0,1,16,0,0,0,1,2,20,33,12,11,5,4,0,0,0,1,1,0.030303,3,306,179.583328,0
113.593571,43,0,299.223027,96.779756,3,0,430.780979,6740.289722,10.649254,6.61194,212.0712,6740.372778,14.902985,66,6740.473889,9.985075,3488.367222,9,0.772665,11.119403,420.980922,244.756311,256.695698,1,1,290,6,46.33,1,1,1,1,0,4,4,2,6,1,0,1,278,1,4,1,1,1,1,2,0,2,0,0,1,0,0,0,1,0,1,1,0,0,0,1,2,60,25,667,470,265,286,26,18,0,159,197,7.88,3,102,61.019489,0
137.655139,10,0,199.137186,99.543611,2,0,207.519616,4340.9475,14.290323,10.209677,60.58413,769.490833,23.322581,27,456.689722,15.693548,4153.304444,9.419355,0.75198,18.596774,172.097292,195.115354,426.642562,1,1,190,37,0.31,1,1,1,7,65,105,44,97,118,1,66,1,37,1,40,7,7,7,7,2.857143,0.428571,2,0.428571,0,1,15,0,0,7,0,7,7,0,0,2,5,2,100,43,283,235,66,91,6,5,1,46,48,1.116279,3,118,87.932861,0
